CodeClient,DateCreation,SecteurCo,SecteurAct,NivSupp1,NivSupp2
311,11/2/2011,50,N,G1037,G0061
312,11/2/2011,40,N,G1094,G0014
313,11/2/2011,50,N,G1029,G0052
314,11/2/2011,50,N,G1089,G0038
318,11/2/2011,50,N,G1089,G0038
322,11/2/2011,40,N,G1047,G0021
323,11/2/2011,40,N,G1093,G0014
324,11/2/2011,70,N,G1037,G0061
325,11/2/2011,40,N,G1037,G0061
328,11/2/2011,70,N,,
331,11/2/2011,70,N,G1064,G0050
332,11/2/2011,70,EG,,
333,11/2/2011,50,GSB,G1123,G0030
334,11/2/2011,70,N,G1077,G0052
335,11/2/2011,70,N,G1012,G1137
337,11/2/2011,40,N,G1079,G0052
338,11/2/2011,40,N,G1029,G0052
339,11/2/2011,70,N,G1077,G0052
340,11/2/2011,40,N,G1012,G1137
342,11/2/2011,50,FAB,,
344,11/2/2011,40,N,G1060,G0014
345,11/2/2011,90,N,G1019,G0001
349,11/2/2011,40,N,G1064,G0050
350,11/2/2011,40,N,G1106,G1016
353,11/2/2011,70,N,G1078,G0052
356,11/2/2011,70,N,G1077,G0052
357,11/2/2011,70,N,G1077,G0052
358,11/2/2011,70,N,G1077,G0052
359,11/2/2011,70,N,G1077,G0052
360,11/2/2011,70,N,G1077,G0052
361,11/2/2011,70,N,G1077,G0052
362,11/2/2011,70,N,G1077,G0052
363,11/2/2011,70,N,G1077,G0052
364,11/2/2011,70,N,,
366,11/2/2011,90,N,G1019,G0001
371,11/2/2011,70,N,G1094,G0014
374,11/2/2011,91,N,G1015,G0014
377,11/2/2011,50,N,,
378,11/2/2011,50,N,G1081,G0052
381,11/2/2011,70,N,G0016,G0038
394,11/2/2011,70,N,G1075,G0052
395,11/2/2011,70,FAB,,
397,11/2/2011,80,N,G1060,G0014
405,11/2/2011,40,N,G1068,G0050
411,11/2/2011,70,N,G1037,G0061
412,11/2/2011,70,N,G1037,G0061
414,11/2/2011,80,N,G1011,G0002
415,11/2/2011,70,N,G1076,G0052
416,11/2/2011,80,N,G1011,G0002
419,11/2/2011,70,N,G1037,G0061
420,11/2/2011,70,N,,
425,11/2/2011,90,N,G1063,G0050
427,11/2/2011,50,N,G1037,G0061
428,11/2/2011,40,FAB,,
429,11/2/2011,70,N,,
431,11/2/2011,70,N,G1029,G0052
433,11/2/2011,70,N,G1089,G0038
434,11/2/2011,40,N,G1079,G0052
435,11/2/2011,40,N,G1079,G0052
436,11/2/2011,40,N,G1079,G0052
438,11/2/2011,70,N,G0016,G0038
439,11/2/2011,70,N,G1106,G1016
440,11/2/2011,70,N,G0016,G0038
441,11/2/2011,70,N,G1078,G0052
442,11/2/2011,70,N,G1078,G0052
443,11/2/2011,70,N,G1078,G0052
444,11/2/2011,70,N,G1078,G0052
445,11/2/2011,70,N,G1078,G0052
446,11/2/2011,90,N,G1078,G0052
449,11/2/2011,90,N,G1078,G0052
450,11/2/2011,80,N,g1106,G1016
461,11/2/2011,90,N,G1037,G0061
463,11/2/2011,70,N,,
469,11/2/2011,80,N,G1113,G0010
475,11/2/2011,91,FAB,G1120,G0026
476,11/2/2011,40,N,G1080,G0052
479,11/2/2011,90,N,G1078,G0052
482,11/2/2011,70,N,G1011,G0002
485,11/2/2011,80,GSB,G1123,G0030
488,11/2/2011,50,GSB,G1123,G0030
489,11/2/2011,90,GSB,G1123,G0030
490,11/2/2011,90,GSB,G1123,G0030
491,11/2/2011,90,GSB,G1123,G0030
492,11/2/2011,70,GSB,G1123,G0030
493,11/2/2011,40,GSB,G1123,G0030
500,11/2/2011,70,N,G1077,G0052
502,11/2/2011,80,N,G1063,G0050
505,11/2/2011,70,N,,
507,11/2/2011,40,N,G1079,G0052
509,11/2/2011,50,N,G1037,G0061
510,11/2/2011,40,N,G1037,G0061
512,11/2/2011,70,N,G1064,G0050
513,11/2/2011,70,N,G1064,G0050
516,11/2/2011,90,N,G1037,G0061
517,11/2/2011,90,N,G1037,G0061
520,11/2/2011,70,N,,
524,11/2/2011,40,N,g1106,G1016
525,11/2/2011,40,N,g1106,G1016
529,11/2/2011,50,N,,
535,11/2/2011,70,N,,
539,11/2/2011,91,FAB,G1128,G0049
540,11/2/2011,40,N,G1037,G0061
541,11/2/2011,40,N,,
544,11/2/2011,70,N,G1093,G0014
545,11/2/2011,50,N,G1047,G0021
547,11/2/2011,70,N,G1089,G0038
548,11/2/2011,90,N,G1078,G0052
552,11/2/2011,40,N,G1085,G0038
553,11/2/2011,40,N,G1085,G0038
562,11/2/2011,40,N,G1106,G1016
566,11/2/2011,50,N,G1089,G0038
568,11/2/2011,70,N,G1077,G0052
569,11/2/2011,40,N,G1093,G0014
570,11/2/2011,70,N,G1037,G0061
574,11/2/2011,40,N,G1128,G0049
576,11/2/2011,40,N,G1100,G0038
577,11/2/2011,50,N,,
584,11/2/2011,70,N,G1077,G0052
587,11/2/2011,70,N,G1076,G0052
592,11/2/2011,80,N,G1060,G0014
595,11/2/2011,80,N,G1037,G0061
597,11/2/2011,70,N,G1037,G0061
607,11/2/2011,40,N,G1080,G0052
608,11/2/2011,40,N,G1080,G0052
609,11/2/2011,50,N,g1109,G1016
610,11/2/2011,70,N,G1037,G0061
613,11/2/2011,70,N,G1097,G0014
616,11/2/2011,70,N,G0016,G0038
618,11/2/2011,50,FP,,
619,11/2/2011,50,N,G1089,G0038
620,11/2/2011,70,N,G0016,G0038
627,11/2/2011,50,N,G1037,G0061
628,11/2/2011,40,N,G1079,G0052
632,11/2/2011,40,N,G1100,G0038
633,11/2/2011,70,N,G1064,G0050
638,11/2/2011,70,N,G1077,G0052
640,11/2/2011,40,N,,
642,11/2/2011,40,GSB,G1123,G0030
644,11/2/2011,90,N,G1106,G1016
645,11/2/2011,91,FAB,G1008,G0058
646,11/2/2011,50,N,g1106,G1016
647,11/2/2011,70,N,G1094,G0014
651,11/2/2011,70,FAB,,
655,11/2/2011,80,N,g1106,G1016
656,11/2/2011,50,N,,
662,11/2/2011,70,N,G1037,G0061
664,11/2/2011,50,N,G1089,G0038
665,11/2/2011,70,GSB,G1123,G0030
667,11/2/2011,40,N,g1106,G1016
668,11/2/2011,50,N,G1113,G0010
672,11/2/2011,80,N,g1106,G1016
675,11/2/2011,80,EG,,
676,11/2/2011,40,N,G1105,G0001
677,11/2/2011,50,FEN,,
679,11/2/2011,91,FAB,,
681,11/2/2011,80,N,G1100,G0038
684,11/2/2011,90,N,G1078,G0052
690,11/2/2011,50,N,G1089,G0038
691,11/2/2011,40,N,G1037,G0061
694,11/2/2011,90,GSB,G1123,G0030
697,11/2/2011,70,N,G1064,G0050
698,11/2/2011,40,N,,
700,11/2/2011,40,N,G1106,G1016
703,11/2/2011,50,N,G1081,G0052
704,11/2/2011,70,N,G1077,G0052
705,11/2/2011,70,N,G1037,G0061
706,11/2/2011,70,N,,
707,11/2/2011,70,GSB,G1123,G0030
708,11/2/2011,50,GSB,G1123,G0030
710,11/2/2011,70,N,G1077,G0052
715,11/2/2011,40,N,G1068,G0050
716,11/2/2011,50,N,G1089,G0038
724,11/2/2011,70,N,G1022,G0015
725,11/2/2011,50,N,G1089,G0038
727,11/2/2011,70,N,G1062,G0015
729,11/2/2011,50,EG,G1122,G0036
732,11/2/2011,90,N,,
740,11/2/2011,70,N,G1077,G0052
741,11/2/2011,90,N,G1094,G0014
749,11/2/2011,50,N,,
751,11/2/2011,70,N,G1037,G0061
756,11/2/2011,40,N,G1011,G0002
758,11/2/2011,10,FAB,G1120,G0026
759,11/2/2011,40,N,G1018,G0001
761,11/2/2011,40,N,G1018,G0001
767,11/2/2011,40,N,G1075,G0052
769,11/2/2011,50,N,G1082,G0052
771,11/2/2011,40,N,G1075,G0052
772,11/2/2011,40,N,G1075,G0052
773,11/2/2011,40,N,G1075,G0052
774,11/2/2011,50,N,G1029,G0052
775,11/2/2011,50,N,G1089,G0038
777,11/2/2011,50,N,G1060,G0014
780,11/2/2011,91,FAB,G1007,G0038
784,11/2/2011,40,N,G1029,G0052
787,11/2/2011,70,N,G1081,G0052
788,11/2/2011,40,N,G1074,G0052
791,11/2/2011,50,FAB,G1139,G0071
792,11/2/2011,40,N,G1018,G0001
794,11/2/2011,70,GSB,G1123,G0030
795,11/2/2011,50,N,G1089,G0038
799,11/2/2011,80,N,G1083,G0052
800,11/2/2011,50,N,,
801,11/2/2011,90,N,,
804,11/2/2011,70,N,G1089,G0038
805,11/2/2011,70,FAB,,
